ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"608",way/31386609,way/31386609,,tertiary,,,"2",,,,,улица Попова,"1","0","0","1","608",node/6723213631,18.071622474062771,node/280982415,219.672929121156187,node/893968220,171.595273722112125,node/18485108,44.3584347885704
"609",way/180009241,way/180009241,,unclassified,,,,,,,,,"0","0","0","0","609",node/4570994247,3515.428878202234500,node/11149116,3175.770576019072450,node/4570994750,3545.721980827015614,node/455885362,3058.80440409255
"610",way/481522310,way/481522310,,secondary,asphalt,,"2","40",,yes,,Троицкая улица,"0","0","0","0","610",node/4744460861,51.355022223375684,node/1143738665,976.200181254218592,node/4744460860,62.382186417022041,node/4744460853,31.6890340203657
"611",way/31377068,way/31377068,,secondary,asphalt,,"4",,,,,Рабочая улица,"0","0","0","0","611",node/301129611,616.178545421413446,node/6092334694,671.112348794426453,node/565333511,660.206477117925374,node/6340964470,911.471126554006
"612",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","612",node/4570994749,3564.087131168638734,node/230461929,3902.532095453776492,node/6010350323,4172.750209002935662,node/455885362,2227.54126854564
"613",way/180009241,way/180009241,,unclassified,,,,,,,,,"0","0","0","0","613",node/4599445985,2823.606971186785358,node/11149116,2845.852471321541088,node/4570995074,2886.298344415135034,node/2355856384,6087.34405685107
"614",way/172900779,way/172900779,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","614",node/3949915408,1053.485781334424246,node/293139220,1827.860284022242922,node/3949915410,921.697693599639592,node/3941904154,552.334239053357
"615",way/219873732,way/219873732,,unclassified,,,"2",,,,,,"1","0","0","1","615",node/1946998795,705.727374947705357,node/246262,3938.546541607208383,node/5996483888,705.463646498394610,node/4744460853,2911.7083464532
"616",way/38572992,way/38572992,,unclassified,,,,,,,,,"0","0","0","0","616",node/4773038317,1138.115016268965292,node/7463852740,4119.659297687279832,node/2849847592,1129.152725414968700,node/1578386259,2992.57289461285
"617",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","617",node/4773038317,3981.493121983448873,node/7463852740,4644.399469866840263,node/2849847592,3995.667357847037692,node/1578386259,1242.73482918457
"618",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","618",node/3941682237,638.698864973440323,node/1982059585,1822.675324500428360,node/525298735,748.751554199396878,node/3941904154,907.819082865816
"619",way/25178719,way/25178719,,secondary,asphalt,,"2","40",,yes,,Мерецкова-Волосова улица,"0","0","0","0","619",node/420399255,126.587795497743187,node/1143738665,531.590845565473956,node/4744460860,435.649317986320284,node/2322289616,30.8207455917308
"620",way/187769388,way/187769388,,unclassified,,,"2",,,,,Каберова-Власьевская улица,"0","0","0","0","620",node/6726986198,509.095779853638078,node/244045107,913.656174257207567,node/4744476471,265.869422621903198,node/7765694918,811.411178740379
"621",way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,"0","0","0","0","621",node/4773038317,4165.553816346017811,node/7463852740,5978.632860640882427,node/2849847592,4143.915465842334015,node/1578386259,392.495157465268
"622",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","622",node/4570994749,3586.726492807404156,node/230461929,3913.667478273269808,node/6010350323,4158.322324295179897,node/455885362,2156.10577321632
"623",way/175868867,way/175868867,,secondary,asphalt,,"2",,,yes,,улица Ломоносова,"0","0","0","1","623",node/6723213596,30.997976434530333,node/2205077541,170.830850531354059,node/299374449,40.187617068489331,node/302050384,590.185615647894
"624",way/31402169,way/31402169,,tertiary,,,"2",,,,,проезд Энергетиков,"0","0","0","0","624",node/4609165039,1278.958485099770314,node/3974064301,1371.797399493290868,node/6010350323,1007.221415361126105,node/6340964470,1622.28363407376
"625",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","625",node/2641823618,369.109058447280177,node/1864659869,1160.921892919635184,node/525298735,801.908233122566230,node/3941904154,1148.06211108734
"626",way/31396509,way/31396509,,primary,asphalt,,"2",RU:urban,,,,Лужское шоссе,"0","0","0","1","626",node/6517694767,773.360038712328674,node/269278679,745.707969343540526,node/6010350322,37.159424562791862,node/2355856386,2035.91512726284
"627",way/26406042,way/26406042,,tertiary,,,"4","70",,,,Вяжищский проезд,"0","0","0","0","627",node/177598706,2749.692446638084675,node/177601891,4962.544013433902364,node/6010350323,2494.319961325026725,node/455885362,2758.69596547319
"628",way/44833166,way/44833166,,secondary,asphalt,,,,,,,Михайловская улица,"0","0","0","1","628",node/4773038317,4377.264994358561125,node/7463852740,5820.063813149502494,node/2849847592,4365.174641989077827,node/1578386259,253.878596297806
"629",way/391011109,way/391011109,,secondary,asphalt,,"2",RU:urban,,,,Московская улица,"0","0","0","0","629",node/3941682237,386.312781779566706,node/293139220,1291.359004539610851,node/525298735,734.571817056648797,node/3941904154,337.238544842128
"630",way/38522847,way/38522847,,unclassified,,,,"40",,,,,"0","0","0","0","630",node/5678275733,4324.583328453500144,node/177601891,8482.410007039765333,node/267426824,8001.783074057367230,node/455885382,491.213959335532
"631",way/36186280,way/36186280,,tertiary,,,"1",,,,,,"0","0","0","0","631",node/7429024597,1689.688295893800387,node/2475693877,2884.267941933520888,node/2355865875,1321.456194254290267,node/2355870389,1837.98987490208
"632",way/654169016,way/654169016,,primary,asphalt,,"2",,,yes,,,"0","0","0","0","632",node/451701636,414.166557392702998,node/479789030,430.747606174008808,node/2016732107,1365.110755856951982,node/3940315866,1344.11872627366
